,Soil Moisture,Temperature, Soil Humidity,Air temperature (C),Wind speed (Km/h),Air humidity (%),Wind gust (Km/h),Pressure (KPa)
98,79.0,21.0,58.0,20.68,3.53,21.97,18.32,101.47
99,2.0,37.0,30.0,21.21,3.66,21.44,18.76,101.48
100,49.0,33.0,61.0,21.74,3.78,20.9,19.2,101.49
101,64.0,27.0,58.0,22.44,3.43,20.58,18.24,101.49
102,71.0,36.0,25.0,23.13,3.08,20.27,17.27,101.49
103,51.0,27.0,66.0,23.76,3.42,19.5,18.94,101.49
104,67.0,26.0,60.0,24.4,3.77,18.73,20.6,101.5
105,12.0,0.0,63.0,25.04,4.12,17.96,22.27,101.5
106,67.0,3.0,44.0,25.67,4.46,17.2,23.94,101.51
107,54.0,31.0,49.0,26.3,4.81,16.43,25.6,101.52
108,49.0,33.0,31.0,26.94,5.15,15.66,27.27,101.52
109,24.0,29.0,34.0,27.38,6.86,14.2,33.98,101.52
110,27.0,18.0,38.0,27.83,8.57,12.75,40.68,101.52
111,50.0,35.0,20.0,28.14,8.46,12.24,35.16,101.52
112,51.0,26.0,32.0,28.46,8.36,11.74,29.63,101.53
113,38.0,26.0,34.0,28.94,8.43,11.29,28.77,101.54
114,23.0,45.0,50.0,29.42,8.5,10.84,27.91,101.55
115,27.0,29.0,60.0,29.82,8.72,10.43,36.17,101.55
116,72.0,39.0,21.0,30.22,8.95,10.02,44.44,101.55
117,89.0,19.0,38.0,30.54,8.94,9.84,34.1,101.55
118,36.0,28.0,55.0,30.86,8.94,9.65,23.76,101.55
119,4.0,5.0,45.0,31.27,8.9,9.33,26.58,101.56
120,21.0,37.0,48.0,31.69,8.86,9.01,29.4,101.56
121,8.0,37.0,58.0,32.1,8.82,8.7,32.22,101.56
122,5.0,27.0,28.0,32.51,8.78,8.38,35.04,101.57
123,1.0,10.0,56.0,32.93,8.74,8.06,37.86,101.58
124,2.0,40.0,43.0,33.34,8.7,7.74,40.68,101.58
125,63.0,35.0,30.0,33.28,10.6,7.15,39.7,101.58
126,17.0,39.0,38.0,33.23,12.51,6.56,38.71,101.59
127,33.0,19.0,26.0,33.62,11.78,6.36,40.04,101.58
128,21.0,6.0,67.0,34.01,11.06,6.17,41.38,101.58
129,84.0,29.0,36.0,34.36,11.19,5.97,33.88,101.58
130,35.0,28.0,23.0,34.71,11.32,5.77,26.37,101.58
131,81.0,4.0,35.0,35.04,11.14,5.66,36.26,101.57
132,44.0,41.0,22.0,35.37,10.96,5.56,46.15,101.56
133,53.0,6.0,68.0,35.04,11.99,5.48,39.97,101.56
134,25.0,18.0,66.0,34.71,13.02,5.41,33.8,101.55
135,22.0,28.0,38.0,35.13,12.66,5.28,33.56,101.55
136,57.0,44.0,44.0,35.55,12.29,5.14,33.33,101.55
137,15.0,25.0,67.0,35.55,12.45,5.13,33.11,101.54
138,33.0,23.0,25.0,35.55,12.61,5.12,32.88,101.54
139,20.0,25.0,54.0,36.0,11.92,4.88,47.21,101.54
140,52.0,13.0,62.0,36.46,11.23,4.64,61.54,101.54
141,47.0,2.0,56.0,36.39,11.58,4.66,46.56,101.54
142,63.0,40.0,63.0,36.33,11.92,4.69,31.58,101.53
143,48.0,11.0,21.0,36.33,12.36,4.48,32.92,101.52
144,15.0,34.0,31.0,36.32,12.81,4.28,34.25,101.51
145,87.0,37.0,37.0,36.32,13.26,4.07,35.58,101.5
146,30.0,27.0,70.0,36.31,13.7,3.86,36.92,101.49
147,89.0,31.0,69.0,36.53,13.06,3.92,31.36,101.48
148,28.0,1.0,42.0,36.76,12.43,3.97,25.81,101.47
149,87.0,1.0,52.0,37.06,11.76,3.88,42.18,101.46
150,41.0,23.0,67.0,37.36,11.09,3.8,58.54,101.46
151,58.0,42.0,68.0,37.69,10.94,3.72,63.55,101.45
152,73.0,10.0,23.0,38.02,10.8,3.65,68.57,101.44
153,84.0,2.0,57.0,37.6,11.67,3.51,52.46,101.43
154,90.0,19.0,64.0,37.17,12.54,3.38,36.36,101.42
155,90.0,44.0,44.0,36.66,12.84,3.75,33.37,101.41
156,29.0,35.0,34.0,36.15,13.15,4.12,30.38,101.4
157,65.0,5.0,35.0,35.44,13.8,4.32,36.62,101.38
158,70.0,0.0,37.0,34.72,14.45,4.53,42.86,101.37
159,70.0,32.0,51.0,34.78,13.8,4.85,39.08,101.36
160,6.0,8.0,59.0,34.85,13.14,5.17,35.29,101.35
161,86.0,1.0,50.0,34.93,13.9,4.87,42.14,101.34
162,90.0,17.0,22.0,35.01,14.65,4.57,48.98,101.34
163,22.0,32.0,67.0,35.45,13.24,4.49,46.71,101.33
164,7.0,24.0,35.0,35.89,11.84,4.4,44.44,101.32
165,73.0,32.0,48.0,36.3,11.87,3.99,37.6,101.32
166,78.0,23.0,29.0,36.71,11.9,3.57,30.77,101.31
167,26.0,26.0,22.0,36.77,12.14,3.71,28.57,101.3
168,2.0,28.0,70.0,36.83,12.38,3.85,26.37,101.3
169,48.0,5.0,34.0,36.7,11.98,3.97,33.88,101.28
170,31.0,45.0,67.0,36.56,11.59,4.09,41.38,101.27
171,4.0,7.0,56.0,36.36,11.83,4.35,35.88,101.26
172,71.0,22.0,64.0,36.15,12.07,4.61,30.38,101.25
173,74.0,6.0,47.0,36.2,11.44,4.62,29.65,101.24
174,58.0,20.0,31.0,36.25,10.8,4.63,28.92,101.23
175,76.0,3.0,70.0,36.12,11.14,4.7,31.86,101.22
176,78.0,36.0,44.0,36.0,11.48,4.77,34.8,101.21
177,5.0,14.0,41.0,35.88,11.83,4.84,37.74,101.2
178,8.0,32.0,38.0,35.75,12.17,4.91,40.68,101.19
179,31.0,6.0,40.0,35.59,12.04,4.59,38.52,101.18
180,30.0,34.0,53.0,35.43,11.9,4.27,36.36,101.18
181,58.0,25.0,37.0,35.48,11.88,4.22,35.83,101.17
182,28.0,9.0,66.0,35.52,11.85,4.17,35.29,101.16
183,19.0,16.0,32.0,35.52,12.25,4.06,46.22,101.15
184,26.0,15.0,45.0,35.52,12.65,3.96,57.14,101.14
185,51.0,37.0,65.0,35.42,12.48,3.88,57.14,101.14
186,4.0,45.0,67.0,35.33,12.31,3.8,57.14,101.13
187,80.0,25.0,63.0,35.24,12.76,3.98,63.86,101.12
188,68.0,24.0,45.0,35.15,13.2,4.17,70.59,101.11
189,8.0,9.0,41.0,35.34,12.52,4.12,50.88,101.1
190,53.0,35.0,21.0,35.52,11.83,4.06,31.17,101.1
191,79.0,32.0,66.0,35.53,12.03,3.96,43.49,101.1
192,68.0,5.0,63.0,35.55,12.23,3.87,55.81,101.09
193,76.0,37.0,59.0,35.4,12.08,3.7,47.26,101.08
194,34.0,18.0,38.0,35.25,11.93,3.53,38.71,101.08
195,28.0,0.0,66.0,35.35,11.2,3.34,41.38,101.06
196,62.0,36.0,25.0,35.24,11.96,2.96,36.08,101.06
197,88.0,27.0,54.0,35.13,12.72,2.58,30.77,101.05
198,1.0,23.0,39.0,35.03,12.44,2.74,30.77,101.05
199,25.0,0.0,48.0,34.92,12.16,2.9,30.77,101.05
200,40.0,2.0,46.0,34.83,12.4,2.88,35.72,101.04
201,77.0,22.0,58.0,34.73,12.63,2.86,40.68,101.04
202,66.0,22.0,48.0,34.74,11.54,2.99,37.24,101.04
203,52.0,21.0,36.0,34.76,10.44,3.12,33.8,101.04
204,84.0,34.0,37.0,34.7,10.75,3.08,30.53,101.04
205,26.0,7.0,39.0,34.63,11.06,3.05,27.27,101.04
206,38.0,34.0,40.0,34.56,11.29,3.1,26.82,101.04
207,48.0,24.0,68.0,34.49,11.52,3.16,26.37,101.04
208,12.0,20.0,43.0,34.48,9.75,3.52,25.3,101.04
209,51.0,0.0,46.0,34.46,7.98,3.87,24.24,101.04
210,83.0,26.0,36.0,34.26,9.14,3.7,31.48,101.04
211,64.0,3.0,57.0,34.07,10.31,3.52,38.71,101.04
212,35.0,10.0,69.0,33.83,10.75,3.5,43.84,101.04
213,81.0,17.0,53.0,33.58,11.19,3.48,48.98,101.03
214,47.0,15.0,28.0,33.44,10.26,3.6,35.7,101.02
215,18.0,40.0,38.0,33.31,9.34,3.72,22.43,101.02
216,54.0,40.0,39.0,33.13,9.44,3.88,33.44,101.02
217,60.0,18.0,43.0,32.95,9.54,4.05,44.44,101.02
218,20.0,38.0,63.0,32.82,9.01,4.17,39.86,101.02
219,39.0,16.0,20.0,32.69,8.48,4.29,35.29,101.02
220,19.0,17.0,51.0,32.64,8.41,4.14,27.82,101.02
221,61.0,16.0,50.0,32.59,8.34,3.98,20.34,101.02
222,40.0,28.0,52.0,32.45,8.36,3.94,21.34,101.02
223,37.0,4.0,30.0,32.3,8.39,3.9,22.35,101.03
224,61.0,14.0,61.0,32.16,8.41,3.86,23.36,101.03
225,70.0,8.0,43.0,32.02,8.43,3.82,24.36,101.03
226,40.0,43.0,68.0,31.87,8.46,3.78,25.36,101.04
227,84.0,6.0,33.0,31.73,8.48,3.74,26.37,101.04
228,60.0,30.0,58.0,31.54,8.11,3.86,24.78,101.04
229,5.0,29.0,37.0,31.34,7.74,3.99,23.18,101.04
230,8.0,25.0,66.0,31.15,7.37,4.12,21.59,101.04
231,58.0,44.0,52.0,30.96,7.0,4.24,20.0,101.04
232,1.0,27.0,69.0,30.75,6.48,4.5,17.94,101.04
233,65.0,7.0,35.0,30.54,5.97,4.75,15.89,101.05
234,50.0,35.0,65.0,30.44,6.2,4.79,14.76,101.06
235,2.0,15.0,65.0,30.35,6.44,4.83,13.64,101.06
236,28.0,17.0,57.0,30.13,5.85,5.22,17.63,101.08
237,56.0,13.0,43.0,29.91,5.25,5.61,21.62,101.09
238,35.0,29.0,55.0,29.58,4.5,6.22,22.24,101.1
239,16.0,8.0,57.0,29.24,3.74,6.82,22.86,101.1
240,90.0,7.0,62.0,29.03,4.02,7.38,18.36,101.11
241,33.0,44.0,29.0,28.83,4.29,7.93,13.87,101.12
242,40.0,38.0,58.0,28.68,4.04,8.25,15.7,101.12
243,75.0,15.0,56.0,28.54,3.79,8.56,17.52,101.13
244,43.0,41.0,51.0,28.34,4.02,9.15,20.08,101.14
245,87.0,15.0,54.0,28.14,4.25,9.74,22.64,101.15
246,90.0,44.0,29.0,28.22,5.06,9.64,23.56,101.16
247,67.0,27.0,30.0,28.3,5.86,9.54,24.49,101.17
248,83.0,24.0,46.0,28.09,5.52,10.34,29.89,101.18
249,85.0,12.0,41.0,27.88,5.17,11.15,35.29,101.18
250,62.0,23.0,47.0,27.74,5.62,11.73,34.08,101.18
251,88.0,38.0,46.0,27.61,6.07,12.3,32.88,101.17
252,10.0,30.0,70.0,27.38,5.22,13.09,26.04,101.18
253,20.0,39.0,50.0,27.16,4.36,13.88,19.2,101.19
254,62.0,12.0,51.0,26.84,3.78,14.36,19.69,101.2
255,50.0,26.0,28.0,26.52,3.2,14.83,20.17,101.2
256,35.0,45.0,64.0,26.29,3.08,14.93,21.2,101.21
257,83.0,20.0,53.0,26.06,2.97,15.04,22.22,101.22
258,5.0,0.0,61.0,25.94,2.86,15.08,18.85,101.24
259,27.0,12.0,57.0,25.81,2.75,15.12,15.48,101.25
260,34.0,21.0,37.0,25.73,3.06,15.58,15.64,101.25
261,32.0,3.0,58.0,25.65,3.38,16.05,15.79,101.25
262,30.0,28.0,31.0,25.59,3.66,16.13,15.84,101.25
263,63.0,8.0,20.0,25.53,3.94,16.22,15.89,101.25
264,61.0,20.0,54.0,25.51,3.83,15.56,18.03,101.25
265,60.0,36.0,22.0,25.49,3.72,14.89,20.17,101.25
266,54.0,24.0,41.0,25.63,4.51,14.34,22.2,101.26
267,71.0,26.0,24.0,25.77,5.31,13.78,24.24,101.26
268,14.0,45.0,54.0,25.8,5.07,13.56,30.58,101.26
269,39.0,15.0,21.0,25.82,4.83,13.34,36.92,101.27
270,40.0,37.0,62.0,25.74,4.85,13.36,33.84,101.27
271,50.0,1.0,41.0,25.65,4.86,13.38,30.77,101.27
272,73.0,9.0,34.0,25.64,5.1,13.32,33.84,101.28
273,37.0,41.0,34.0,25.62,5.34,13.25,36.92,101.28
274,43.0,0.0,66.0,25.38,5.22,14.4,33.46,101.28
275,76.0,29.0,44.0,25.15,5.1,15.54,30.0,101.28
276,53.0,36.0,42.0,25.04,5.35,16.4,28.89,101.28
277,71.0,9.0,55.0,24.94,5.59,17.26,27.78,101.28
278,26.0,9.0,65.0,24.83,5.84,18.12,26.67,101.28
279,12.0,41.0,36.0,24.82,6.28,18.26,33.01,101.28
280,67.0,13.0,35.0,24.82,6.72,18.41,39.34,101.28
281,17.0,45.0,53.0,24.84,6.8,18.22,41.49,101.28
282,26.0,38.0,70.0,24.85,6.87,18.02,43.64,101.28
283,78.0,39.0,34.0,24.91,6.96,17.3,41.18,101.28
284,30.0,27.0,57.0,24.97,7.06,16.58,38.71,101.28
285,20.0,5.0,38.0,24.88,6.74,16.43,37.26,101.28
286,79.0,28.0,61.0,24.79,6.43,16.29,35.82,101.29
287,40.0,17.0,42.0,24.66,6.44,16.19,34.12,101.28
288,10.0,11.0,53.0,24.52,6.44,16.09,32.43,101.28
289,84.0,8.0,55.0,24.45,6.27,15.62,34.39,101.28
290,11.0,8.0,32.0,24.38,6.1,15.14,36.36,101.28
291,63.0,28.0,38.0,24.29,5.92,14.94,34.39,101.28
292,40.0,2.0,40.0,24.2,5.73,14.75,32.43,101.28
293,33.0,37.0,34.0,24.11,5.24,14.77,30.01,101.28
294,75.0,11.0,64.0,24.02,4.76,14.79,27.59,101.28
295,24.0,30.0,57.0,23.82,4.57,15.1,26.56,101.28
296,65.0,15.0,53.0,23.62,4.38,15.41,25.53,101.28
297,35.0,25.0,46.0,23.51,3.98,15.27,23.68,101.28
298,44.0,15.0,33.0,23.4,3.59,15.13,21.82,101.28
299,39.0,1.0,45.0,23.33,4.26,15.57,26.1,101.28
300,13.0,35.0,24.0,23.26,4.92,16.0,30.38,101.27
301,20.0,45.0,59.0,23.1,5.02,18.12,28.67,101.26
302,82.0,0.0,65.0,22.94,5.12,20.25,26.97,101.26
303,72.0,5.0,53.0,22.85,4.36,20.45,21.08,101.26
304,56.0,30.0,36.0,22.76,3.61,20.65,15.19,101.26
305,14.0,44.0,26.0,22.56,4.25,21.04,21.88,101.26
306,25.0,10.0,57.0,22.36,4.89,21.44,28.57,101.26
307,13.0,6.0,52.0,22.42,4.97,20.72,25.82,101.25
308,43.0,43.0,37.0,22.47,5.06,19.99,23.08,101.24
309,62.0,1.0,66.0,22.41,4.59,19.48,18.43,101.24
310,56.0,36.0,47.0,22.35,4.12,18.97,13.79,101.24
311,60.0,10.0,25.0,22.46,5.43,18.12,17.33,101.24
312,89.0,7.0,56.0,22.58,6.73,17.26,20.87,101.23
313,46.0,23.0,23.0,22.69,6.79,16.78,27.1,101.22
314,8.0,29.0,32.0,22.8,6.85,16.31,33.33,101.22
315,13.0,10.0,41.0,22.77,7.01,16.06,29.43,101.22
316,55.0,35.0,35.0,22.74,7.17,15.82,25.53,101.21
317,65.0,27.0,44.0,22.6,6.44,16.02,24.88,101.2
318,34.0,33.0,66.0,22.46,5.71,16.22,24.24,101.2
319,55.0,17.0,35.0,22.24,5.09,16.61,21.88,101.2
320,32.0,10.0,40.0,22.03,4.47,17.0,19.51,101.2
321,60.0,38.0,47.0,21.86,3.87,17.4,17.21,101.2
322,80.0,21.0,48.0,21.69,3.28,17.8,14.91,101.21
323,22.0,16.0,39.0,21.44,2.75,18.58,13.48,101.2
324,2.0,21.0,51.0,21.19,2.22,19.35,12.06,101.2
325,31.0,8.0,26.0,21.12,3.49,20.23,16.38,101.2
326,59.0,11.0,50.0,21.04,4.75,21.1,20.69,101.2
327,27.0,6.0,53.0,21.38,6.0,20.2,25.73,101.2
328,42.0,40.0,54.0,21.71,7.24,19.31,30.77,101.19
329,19.0,31.0,68.0,21.76,6.86,19.27,32.28,101.2
330,37.0,43.0,41.0,21.81,6.49,19.23,33.8,101.2
331,17.0,16.0,47.0,21.64,6.08,19.92,30.53,101.2
332,42.0,22.0,62.0,21.46,5.66,20.61,27.27,101.2
333,90.0,39.0,46.0,21.37,5.8,20.76,24.74,101.2
334,27.0,9.0,35.0,21.28,5.93,20.92,22.22,101.2
335,12.0,1.0,40.0,21.33,6.42,20.92,25.23,101.2
336,26.0,13.0,43.0,21.38,6.92,20.92,28.24,101.2
337,35.0,19.0,52.0,21.28,6.67,21.41,30.78,101.2
338,84.0,45.0,36.0,21.19,6.42,21.9,33.33,101.21
339,44.0,43.0,66.0,21.16,6.57,22.01,33.11,101.21
340,90.0,28.0,63.0,21.13,6.72,22.12,32.88,101.21
341,6.0,15.0,40.0,21.02,7.19,22.5,35.38,101.21
342,70.0,23.0,53.0,20.92,7.67,22.88,37.87,101.21
343,76.0,18.0,26.0,20.82,8.14,23.25,40.36,101.21
344,7.0,3.0,61.0,20.71,8.62,23.63,42.86,101.21
345,87.0,12.0,58.0,20.72,7.92,23.19,38.08,101.21
346,86.0,33.0,61.0,20.72,7.23,22.74,33.31,101.21
347,64.0,28.0,46.0,20.73,6.54,22.3,28.54,101.21
348,15.0,38.0,53.0,20.74,5.84,21.86,23.76,101.21
349,18.0,44.0,32.0,20.6,5.66,22.1,25.68,101.22
350,50.0,24.0,29.0,20.46,5.48,22.33,27.59,101.22
351,36.0,11.0,50.0,20.38,5.64,22.6,25.31,101.22
352,81.0,32.0,46.0,20.3,5.8,22.88,23.02,101.22
353,66.0,38.0,22.0,20.22,5.97,23.15,20.74,101.22
354,86.0,4.0,66.0,20.14,6.13,23.42,18.46,101.22
355,5.0,0.0,69.0,20.12,5.96,23.38,26.38,101.22
356,85.0,28.0,61.0,20.09,5.78,23.34,34.29,101.22
357,14.0,12.0,41.0,20.01,5.65,23.66,34.45,101.22
358,32.0,34.0,45.0,19.93,5.53,23.99,34.62,101.22
359,3.0,42.0,23.0,19.85,5.4,24.31,34.78,101.22
360,20.0,19.0,46.0,19.62,6.14,25.28,30.72,101.22
361,53.0,12.0,68.0,19.4,6.87,26.25,26.67,101.23
362,9.0,34.0,47.0,19.21,6.48,26.8,27.62,101.24
363,6.0,32.0,26.0,19.02,6.08,27.36,28.57,101.24
364,79.0,8.0,47.0,18.74,4.35,28.08,23.58,101.24
365,76.0,39.0,27.0,18.45,2.62,28.79,18.6,101.25
366,77.0,23.0,27.0,18.28,3.14,29.61,18.32,101.25
367,63.0,45.0,37.0,18.11,3.66,30.43,18.05,101.25
368,3.0,5.0,42.0,18.01,4.36,30.62,21.14,101.25
369,40.0,3.0,20.0,17.91,5.05,30.8,24.24,101.25
370,31.0,20.0,34.0,18.06,5.82,29.96,25.6,101.26
371,90.0,5.0,49.0,18.22,6.6,29.13,26.97,101.27
372,8.0,27.0,37.0,18.24,6.24,28.95,26.12,101.28
373,37.0,1.0,22.0,18.25,5.89,28.77,25.26,101.29
374,22.0,4.0,65.0,18.24,5.99,28.24,26.92,101.3
375,70.0,30.0,60.0,18.22,6.1,27.7,28.57,101.3
376,84.0,32.0,29.0,18.26,5.88,27.26,25.82,101.3
377,29.0,39.0,53.0,18.3,5.67,26.83,23.08,101.3
378,18.0,15.0,33.0,18.32,5.8,26.9,24.37,101.31
379,82.0,11.0,25.0,18.33,5.94,26.98,25.66,101.32
380,86.0,29.0,48.0,18.34,6.07,27.06,26.95,101.33
381,12.0,21.0,32.0,18.36,6.2,27.13,28.24,101.34
382,64.0,11.0,32.0,18.58,6.88,26.56,33.48,101.34
383,16.0,20.0,32.0,18.8,7.55,25.98,38.71,101.34
384,47.0,9.0,31.0,19.12,8.3,25.23,40.04,101.34
385,51.0,16.0,70.0,19.44,9.06,24.48,41.38,101.35
386,5.0,5.0,23.0,19.71,8.13,23.94,42.51,101.35
387,90.0,19.0,56.0,19.98,7.2,23.4,43.64,101.36
388,32.0,0.0,25.0,20.46,6.95,22.37,36.81,101.36
389,16.0,22.0,70.0,20.94,6.7,21.34,29.98,101.36
390,42.0,30.0,52.0,21.43,6.44,20.3,23.16,101.36
391,86.0,32.0,50.0,21.91,6.19,19.27,16.33,101.36
392,86.0,9.0,69.0,22.48,6.74,18.02,26.08,101.37
393,80.0,3.0,34.0,23.06,7.3,16.76,35.82,101.38
394,58.0,43.0,58.0,23.64,7.46,15.44,26.86,101.38
395,90.0,37.0,40.0,24.22,7.62,14.13,17.91,101.38
396,78.0,44.0,70.0,24.66,8.62,13.18,38.22,101.38
397,38.0,26.0,24.0,25.1,9.63,12.22,58.54,101.38
398,39.0,23.0,45.0,25.65,9.74,11.43,57.84,101.38
399,9.0,8.0,31.0,26.19,9.84,10.64,57.14,101.39
400,73.0,37.0,22.0,26.74,9.84,9.84,59.34,101.4
401,77.0,0.0,50.0,27.3,9.83,9.03,61.54,101.4
402,16.0,17.0,61.0,27.61,10.36,8.72,78.77,101.41
403,56.0,37.0,55.0,27.92,10.88,8.41,96.0,101.42
404,8.0,4.0,37.0,28.06,11.48,8.38,94.22,101.42
405,27.0,45.0,20.0,28.2,12.07,8.34,92.44,101.43
406,29.0,8.0,68.0,28.35,12.66,8.3,90.67,101.43
